date,time,url,user_agent,source
"2025-12-16","06:08:55","/bin/","","204.76.203.18"
"2025-12-16","00:00:08","/","","204.76.203.18"
"2025-12-16","03:10:59","/","","141.98.11.140"
"2025-12-16","03:20:20","/bins/","","204.76.203.18"
"2025-12-16","09:10:19","/backup/","","204.76.203.18"
"2025-12-16","13:22:07","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.134.148.59"
"2025-12-16","09:16:57","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.125"
"2025-12-16","11:49:38","/","","45.142.154.19"
"2025-12-16","10:36:01","/","","118.193.44.203"
"2025-12-16","10:31:15","http://httpbin.org/ip","ProxyPool-Scanner/2.0","87.121.84.180"
"2025-12-16","17:50:53","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.141"
"2025-12-16","10:56:30","/index.htm","Mozilla/5.0","176.65.149.20"
"2025-12-16","01:11:14","/SDK/webLanguage","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","89.42.231.244"
"2025-12-16","17:13:37","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.143.33.63"
"2025-12-16","07:29:20","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","138.197.148.150"
"2025-12-16","04:58:14","/","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.154.159"
"2025-12-16","11:47:09","/SDK/webLanguage","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","204.76.203.214"
"2025-12-16","18:41:32","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.122"
"2025-12-16","09:23:45","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.138.42"
"2025-12-16","10:56:30","/","","176.65.149.20"
"2025-12-16","21:03:41","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.115"
"2025-12-16","00:28:06","/robots.txt","xfa1","199.127.63.154"
"2025-12-16","04:58:29","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.154.159"
"2025-12-16","16:56:00","/favicon.ico","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","45.82.78.113"
"2025-12-16","06:59:05","/","Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/ Firefox/3.6.10","193.24.123.42"
"2025-12-16","21:02:35","/robots.txt","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.138.43"
"2025-12-16","10:41:04","/hello.world?d+allow_url_include=1+d+auto_prepend_file=php://input","libredtail-http","101.36.104.242"
"2025-12-16","10:41:31","/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php","libredtail-http","101.36.104.242"
"2025-12-16","10:50:19","/ssl/","Mozilla/5.0","41.40.9.190"
"2025-12-16","11:44:45","/upl.php","Mozilla/5.0","139.59.30.35"
"2025-12-16","13:15:17","/","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0","91.231.89.214"
"2025-12-16","04:31:49","/","Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity","205.210.31.17"
"2025-12-16","18:41:32","/","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.122"
