date,time,url,user_agent,source
"2025-12-19","02:29:25","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.143.33.63"
"2025-12-19","04:00:01","/","","141.98.11.140"
"2025-12-19","17:02:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.138.203"
"2025-12-19","14:07:24","/favicon.ico","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","156.232.94.80"
"2025-12-19","10:18:44","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.120"
"2025-12-19","12:41:45","/","'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)'","216.180.246.48"
"2025-12-19","04:05:40","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.114"
"2025-12-19","08:07:06","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.54"
"2025-12-19","02:49:10","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.130.96.91"
"2025-12-19","00:01:32","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","69.55.55.230"
"2025-12-19","04:06:19","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.214"
"2025-12-19","21:37:18","/cgi-bin/login/sitemap.xml","Go-http-client/1.1","152.32.132.203"
"2025-12-19","14:07:19","/","","156.232.94.80"
"2025-12-19","12:02:49","/favicon.ico","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","45.142.154.42"
"2025-12-19","22:00:40","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.155.73"
"2025-12-19","21:37:18","/cgi-bin/login/robots.txt","Go-http-client/1.1","152.32.132.203"
"2025-12-19","03:38:39","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.154.119"
"2025-12-19","17:00:39","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.43"
"2025-12-19","21:37:18","/favicon.ico","Go-http-client/1.1","152.32.132.203"
"2025-12-19","17:31:46","/","Mozilla/5.0","134.199.162.89"
"2025-12-19","14:07:22","/","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","156.232.94.80"
"2025-12-19","20:54:20","/login","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","64.225.35.77"
"2025-12-19","01:25:53","/?XDEBUG_SESSION_START=phpstorm","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36","79.124.40.174"
"2025-12-19","05:29:21","/.git/credentials","Mozilla/5.0 (PLAYSTATION 3; 2.00)","195.178.110.162"
"2025-12-19","22:00:20","/","","199.45.155.73"
"2025-12-19","03:57:06","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:47.0) Gecko/20100101 Firefox/47.0","185.177.72.11"
"2025-12-19","07:50:07","/.env","Mozilla/5.0 (compatible; Scanner/1.0)","146.70.116.238"
"2025-12-19","11:24:26","/password.php","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","104.248.147.131"
